Site,Sampling,Day,Tree,Treatment,Bait_type,Ant_Morphospecies,Notes
DO,B,20.05.2017,H15,wo,tuna,Ant_Z,
DO,B,20.05.2017,H18,w,honey,Ant_M,
DO,B,20.05.2017,H18,w,honey,Ant_T,
DO,B,20.05.2017,H18,w,tuna,Ant_AJ,
DO,B,20.05.2017,H7,wr,honey,Ant_A,
DO,B,20.05.2017,H7,wr,honey,Ant_Q,
DO,B,20.05.2017,H7,wr,tuna,Ant_G,
DO,B,20.05.2017,H9,wo,honey,empty,
DO,B,20.05.2017,H9,wo,tuna,Ant_A,
DO,B,20.05.2017,I1,w,honey,Ant_T,
DO,B,20.05.2017,I1,w,tuna,Ant_AB,
DO,B,20.05.2017,I21,wr,honey,Ant_A,
DO,B,20.05.2017,I21,wr,tuna,Ant_AH,
DO,B,20.05.2017,I4,wo,honey,Ant_G,
DO,B,20.05.2017,I4,wo,tuna,Ant_G,
CP,A,24.06.2017,A2,wo,honey,empty,
CP,A,24.06.2017,A2,wo,tuna,Ant_T,
CP,A,24.06.2017,A4,wo,honey,Ant_A,
CP,A,24.06.2017,A4,wo,tuna,Ant_A,
CP,A,24.06.2017,A7,wo,honey,Ant_A,
CP,A,24.06.2017,A7,wo,tuna,Ant_A,
CP,A,24.06.2017,C6,wo,honey,empty,
CP,A,24.06.2017,C6,wo,tuna,Ant_A,
CP,A,24.06.2017,C6,wo ,tuna,Ant_A,
CP,A,24.06.2017,E2,wr,honey,Ant_F,
CP,A,24.06.2017,E2,wr,tuna,Ant_A,
CP,A,24.06.2017,F2,w,honey,empty,
CP,A,24.06.2017,F2,w,tuna,empty,
CP,A,24.06.2017,F4,w,honey,empty,
CP,A,24.06.2017,F4,w,tuna,Ant_A,
CP,A,24.06.2017,F4,w,tuna,Ant_AB,
CP,A,24.06.2017,G4,wr,honey,Ant_A,
CP,A,24.06.2017,G4,wr,honey,Ant_A,
CP,A,24.06.2017,G4,wr,honey,Ant_F,
CP,A,24.06.2017,G4,wr,tuna,Ant_A,
CP,A,24.06.2017,G4,wr,tuna,Ant_AS,
CP,A,24.06.2017,G4,wr,tuna,Ant_H,
ER,A,25.06.2017,B1,wo,honey,Ant_H,
ER,A,25.06.2017,B1,wo,honey,Ant_L,
ER,A,25.06.2017,B1,wo,tuna,Ant_A,nest in tree
ER,A,25.06.2017,B1,wo,tuna,Ant_H,
ER,A,25.06.2017,B3,wr,honey,Ant_A,
ER,A,25.06.2017,B3,wr,honey,Ant_H,
ER,A,25.06.2017,B3,wr,tuna,Ant_A,nest in tree
ER,A,25.06.2017,C2,wo,honey,Ant_A,
ER,A,25.06.2017,C2,wo,honey,Ant_H,
ER,A,25.06.2017,C2,wo,tuna,Ant_A,nest in tree
ER,A,25.06.2017,C3,wo,honey,empty,
ER,A,25.06.2017,C3,wo,tuna,Ant_A,nest in tree
ER,A,25.06.2017,E1,wo,honey,Ant_A,nest in tree
ER,A,25.06.2017,E1,wo,tuna,Ant_A,nest in tree
ER,A,25.06.2017,E8,wr,honey,empty,
ER,A,25.06.2017,E8,wr,tuna,Ant_A,nest in tree
ER,A,25.06.2017,E8,wr,tuna,Ant_H,
ER,A,25.06.2017,F1,wo,honey,Ant_A,
ER,A,25.06.2017,F1,wo,tuna,Ant_A,nest in tree
ER,A,25.06.2017,F1,wo,tuna,Ant_E,
ER,A,25.06.2017,F14,w,honey,Ant_A,
ER,A,25.06.2017,F14,w,honey,Ant_E,
ER,A,25.06.2017,F14,w,tuna,Ant_A,nest in tree
DO,A,26.06.2017,A10,wo,honey,Ant_G,nest in tree
DO,A,26.06.2017,A10,wo,tuna,Ant_A,
DO,A,26.06.2017,A10,wo,tuna,Ant_G,
DO,A,26.06.2017,A16,wo,honey,Ant_A,
DO,A,26.06.2017,A16,wo,tuna,Ant_A,
DO,A,26.06.2017,A18,wr,honey,empty,
DO,A,26.06.2017,A18,wr,tuna,Ant_A,nest in tree
DO,A,26.06.2017,A3,wo,honey,Ant_R,
DO,A,26.06.2017,A3,wo,tuna,Ant_A,nest in tree
DO,A,26.06.2017,B16,wo,honey,Ant_J,
DO,A,26.06.2017,B16,wo,tuna,Ant_G,
DO,A,26.06.2017,B16,wo,tuna,Ant_J,
DO,A,26.06.2017,B18,w,honey,Ant_A,
DO,A,26.06.2017,B18,w,tuna,empty,
DO,A,26.06.2017,B20,w,honey,Ant_AT,
DO,A,26.06.2017,B20,w,honey,Ant_J,
DO,A,26.06.2017,B20,w,tuna,Ant_G,
DO,A,26.06.2017,B8,wr,honey,Ant_A,
DO,A,26.06.2017,B8,wr,honey,Ant_G,
DO,A,26.06.2017,B8,wr,tuna,Ant_G,
CP,A,29.06.2017,C8,wo,honey,empty,
CP,A,29.06.2017,C8,wo,tuna,Ant_A,
CP,A,29.06.2017,D1,wo,honey,empty,
CP,A,29.06.2017,D1,wo,tuna,empty,
CP,A,29.06.2017,D2,wo,honey,empty,
CP,A,29.06.2017,D2,wo,tuna,Ant_A,
CP,A,29.06.2017,D2,wo,tuna,Ant_E,
CP,A,29.06.2017,D2,wo,tuna,Ant_H,
CP,A,29.06.2017,E1,wo,honey,empty,
CP,A,29.06.2017,E1,wo,tuna,Ant_A,
CP,A,29.06.2017,G6,w,honey,empty,
CP,A,29.06.2017,G6,w,tuna,empty,
CP,A,29.06.2017,H2,wr,honey,empty,
CP,A,29.06.2017,H2,wr,tuna,Ant_A,
CP,A,29.06.2017,I7,w,honey,empty,
CP,A,29.06.2017,I7,w,tuna,Ant_J,
CP,A,29.06.2017,I7,w,tuna,Ant_N,
CP,A,29.06.2017,J5,wr,honey,empty,
CP,A,29.06.2017,J5,wr,tuna,Ant_A,
CP,A,29.06.2017,J5,wr,tuna,Ant_H,
