Site,block,Day,Time,Observer,Tree,Bromeliads,obs,Order,Suborder,Family,cleanspec,Species,Specimen,Diet,Behavior,behaviour,Behavior_Duration,Interaction_Type,interaction,Interaction_Target,Interaction_Duration,Interaction_Outcome
CP,X,06-01-17,Day,Pier,G3,absent,S,Collembolla,,,Springtail_D,caSpringtail_D,caSpringtail_D_b,detr,exploring,mobile,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G3,absent,S,Collembolla,,,Springtail_D,caSpringtail_D,caSpringtail_D_c,detr,exploring,mobile,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,J3,present,S,Coleoptera,Polyphaga,Staphylinidae,Staphylinid_B,Staphylinid_B,Staphylinid_B,pred,exploring,mobile,15,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G1,absent,S,Diptera,,,Unidentified_fly,Unidentified_fly,Unid_small_fly,unkn,exploring,mobile,2,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,J3,present,S,Diptera,,,Unidentified_fly,Unidentified_fly,Unid_small_fly,unkn,exploring,mobile,5,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G2,absent,S,Diptera,,,Unidentified_fly,Unidentified_fly,Unid_small_fly_a,unkn,exploring,mobile,20,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G2,absent,S,Diptera,,,Unidentified_fly,Unidentified_fly,Unid_small_fly_b,unkn,exploring,mobile,120,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G2,absent,S,Diptera,,,Unidentified_fly,Unidentified_fly,Unid_small_fly_c,unkn,exploring,mobile,60,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G2,absent,F,Diptera,Brachycera,,Unidentified_fly,Unidentified_fly,Unid_tephritid,unkn,exploring,mobile,5,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G3,absent,F,Unknown,,,Unidentified_small_H/D,Unidentified_small_H/D,Small_H/D,unkn,maybe_ovipositing_exploring,reproduction,30,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G1,absent,S,Unknown,,,Unidentified_small_H/D,Unidentified_small_H/D,Small_H/D,unkn,ovipositing_repeatedly,reproduction,240,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,K7,present,S,Unknown,,,Unidentified_small_H/D,Unidentified_small_H/D,Small_H/D,unkn,ovipositing_repeatedly,reproduction,120,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,K3,present,S,Coleoptera,Polyphaga,Curculionidae,Beetle_BJ,Beetle_BJ,Beetle_BJ,herb,stationary,stationary,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G1,absent,F,Hemiptera,Heteroptera,Geocoridae,Hemiptera_J,Hemiptera_J,Hemiptera_J,pred,stationary,stationary,60,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G1,absent,F,Araneae,,,Jspider_AH,Jspider_AH,Jspider_AH,pred,stationary,stationary,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G3,absent,F,Gastropoda,,,Snail_A,Snail_A,Snail_A,herb,stationary,stationary,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G3,absent,S,Gastropoda,,,Snail_A,Snail_A,Snail_A,herb,stationary,stationary,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Blattodea,,Ectobiidae,Cockroach_A,caCockroach_A,caCockroach_A,scav,exploring,mobile,45,attack,neg,Unid_black_long_fly_1.5cm,1,miss
CP,A,06-02-17,Day,Fran,L8,absent,F,Diptera,,,Unidentified_fly,Unidentified_fly,Unid_black_long_fly_1.5cm,unkn,stationary,stationary,45,attacked,neg,caCockroach_A,1,flight
CP,A,06-02-17,Day,Fran,J2,absent,S,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_a,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J2,absent,S,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_b,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J2,absent,S,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_c,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J2,absent,S,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_d,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_d,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J2,absent,S,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_e,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_e,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_f,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_g,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_h,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_i,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_j,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_k,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_l,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A_m,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J2,absent,F,Hemiptera,Sternorrhyncha,Aphididae,Aphid_A,Aphid_A,Aphid_A,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I7,present,F,Coleoptera,Polyphaga,Scarabaeidae,Beetle_BO,Beetle_BO,Beetle_BO,herb,chewing_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,E1,absent,F,Coleoptera,Polyphaga,Curculionidae,Beetle_BY,caBeetle_BY,caBeetle_BY,herb,chewing_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J4,present,S,Diptera,Brachycera,,Fly_R,caFly_R,caFly_R,unkn,sponging_leaf,herb_feeding,150,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I3,present,S,Hemiptera,Auchenorrhyncha,,Homoptera_BE,caHomoptera_BE,caHomoptera_BE,herb,sucking_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J4,present,S,Hemiptera,Auchenorrhyncha,,Homoptera_L,caHomoptera_L,caHomoptera_L,herb,sucking_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I4,absent,F,Hemiptera,Auchenorrhyncha,,Homoptera_O,caHomoptera_O,caHomoptera_O,herb,sucking_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,E1,absent,F,Orthoptera,Ensifera,Tettigoniidae,Katydid_nymph_A,caKatydid_nymph_A,caKatydid_nymph_A,herb,chewing_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I4,absent,F,Hemiptera,Sternorrhyncha,Liviidae,Hemiptera_F,Hemiptera_F,Hemiptera_F,herb,sucking_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I7,present,S,Orthoptera,Ensifera,Tettigoniidae,Katydid_nymph_A,Katydid_nymph_A,Katydid_nymph_A,herb,chewing_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L6,present,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_brown_aphid,NewSp_brown_aphid,NewSp_brown_aphid_a,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L6,present,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_brown_aphid,NewSp_brown_aphid,NewSp_brown_aphid_b,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L6,present,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_brown_aphid,NewSp_brown_aphid,NewSp_brown_aphid_c,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L6,present,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_brown_aphid,NewSp_brown_aphid,NewSp_brown_aphid_d,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L6,present,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_brown_aphid,NewSp_brown_aphid,NewSp_brown_aphid_e,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I6,absent,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_green_aphid_a,NewSp_green_aphid_a,NewSp_green_aphid_c,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I6,absent,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_green_aphid_a,NewSp_green_aphid_a,NewSp_green_aphid_d,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I6,absent,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_green_aphid_a,NewSp_green_aphid_a,NewSp_green_aphid_e,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I6,absent,F,Hemiptera,Sternorrhyncha,Aphididae,NewSp_green_aphid_a,NewSp_green_aphid_a,NewSp_green_aphid_f,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_green_scale,NewSp_green_scale,NewSp_green_Scale_B,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_green_scale,NewSp_green_scale,NewSp_green_scale_e,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_green_scale,NewSp_green_scale,NewSp_green_scale_g,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_green_scale,NewSp_green_scale,NewSp_green_scale_h,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_green_scale,NewSp_green_scale,NewSp_green_scale_i,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_green_scale,NewSp_green_scale,NewSp_green_scale_j,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L6,present,S,Hemiptera,Sternorrhyncha,Coccoidea,NewSp_large_bumpy_mealybug,NewSp_large_bumpy_mealybug,NewSp_large_bumpy_mealybug,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K9,present,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_B,Scale_B,Scale_B,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,I6,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,L8,absent,F,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J2,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_a,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J4,present,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_a,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,F,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_a,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_a,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J2,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_b,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J4,present,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_b,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,F,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_b,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_b,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J2,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_c,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
