Subphylum;Order;Suborder;Family;Subfamily;Genus;Species;Morphospecies;Species_old_name;Diet;Site;Sampling;Day;Tree;Treatment;Bromeliad;Abundance
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_A;Cricket A;omni;ER;B;04.05.2017;B3;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;ER;B;04.05.2017;B3;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;B;04.05.2017;B3;wr;c;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;B;04.05.2017;B3;wr;c;nest
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;B;04.05.2017;B3;wr;d;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant I;pred;ER;B;04.05.2017;B3;wr;d;nest
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;B;04.05.2017;B3;wr;d;2
Hexapoda;Coleoptera;Polyphaga;Chrysomelidae;Bruchinae;;;Beetle_E;Beetle E;herb;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;03.05.2017;B8;wr;a;3
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Plectoptera;;Cockroach_C;Cockroach C;scav;DO;B;03.05.2017;B8;wr;a;1
Chelicerata;Araneae;;;;;;Spider_A;Spider A;pred;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Coleoptera;Adephaga;Carabidae;;;;Beetle_G;Beetle G;pred;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Diptera;Nematocera;Sciaridae;;;;Midge_B;Midge B;nada;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_A;Cricket A;omni;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;B;03.05.2017;B8;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;03.05.2017;B8;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Plectoptera;;Cockroach_C;Cockroach C;scav;DO;B;03.05.2017;B8;wr;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant H;pred;ER;A;25.06.2017;C3;w;a;nest
Chelicerata;Araneae;;;;;;Spider_CL;Spider CL;pred;ER;A;25.06.2017;C3;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;25.06.2017;C3;w;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;A;25.06.2017;C3;w;a;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Dryophthorinae;;;Beetle_D;Beetle D;herb;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant H;pred;ER;A;25.06.2017;C3;w;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;A;25.06.2017;C3;w;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;A;25.06.2017;C3;w;b;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_G;Ootheca G;nada;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Paraponerinae;Paraponera;Paraponera clavata;Ant_L;Ant AE;pred;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Scolytinae;;;Beetle_X;Beetle X;xylo;ER;A;25.06.2017;C3;w;b;2
Hexapoda;Coleoptera;Polyphaga;Scirtidae;;;;Beetle_DQ;Beetle DQ;poll;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;25.06.2017;C3;w;b;5
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Hemiptera_nymph_R;Hemiptera nymph R;herb;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Lepidoptera;;;;;;Lepilarva_G;Lepilarva G;herb;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_K;Cricket K;omni;ER;A;25.06.2017;C3;w;b;1
Myriapoda;Diplopoda;;;;;;Millipede_A;Millipede B;detr;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Dryophthorinae;;;Beetle_D;Beetle D;herb;ER;A;25.06.2017;C3;w;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Nylanderia;;Ant_F;Ant F ;pred;ER;A;25.06.2017;C3;w;c;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant H;pred;ER;A;25.06.2017;C3;w;c;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;A;25.06.2017;C3;w;c;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;ER;A;25.06.2017;C3;w;c;1
Chelicerata;Araneae;;;;;;Jspider_AF;Jspider AF;pred;ER;A;25.06.2017;C3;w;c;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;25.06.2017;C3;w;c;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Hemiptera_nymph_R;Hemiptera nymph R;herb;ER;A;25.06.2017;C3;w;c;3
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;A;25.06.2017;C3;w;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_E;Ant E;pred;ER;A;25.06.2017;C3;w;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant H;pred;ER;A;25.06.2017;C3;w;d;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;ER;A;25.06.2017;C3;w;d;1
Chelicerata;Araneae;;;;;;Jspider_AE;Jspider AE;pred;ER;A;25.06.2017;C3;w;d;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;25.06.2017;C3;w;d;1
Hexapoda;Lepidoptera;;;;;;Lepilarva_F;Lepilarva F;herb;ER;A;25.06.2017;C3;w;d;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Polyergus;;FlyingAnt_X;Flying ant X;pred;DO;A;06.07.2017;D19;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_BD;Ant BD;pred;DO;A;06.07.2017;D19;w;a;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_A;Ootheca A;nada;DO;A;06.07.2017;D19;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;DO;A;06.07.2017;D19;w;a;1
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_A;Grasshopper A;herb;DO;A;06.07.2017;D19;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Chorisoneura or Macrophyllodromia;;Cockroach_K;Cockroach K;scav;DO;A;06.07.2017;D19;w;a;1
Chelicerata;Araneae;;;;;;Jspider_BJ;Jspider BJ;pred;DO;A;06.07.2017;D19;w;a;2
Chelicerata;Araneae;;;;;;Spider_FM;Spider FM;pred;DO;A;06.07.2017;D19;w;a;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;06.07.2017;D19;w;a;3
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_nymph_C;Cricket nymph C;omni;DO;A;06.07.2017;D19;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_BD;Ant BD;pred;DO;A;06.07.2017;D19;w;b;3
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_G;Ootheca G;nada;DO;A;06.07.2017;D19;w;b;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_H;Ootheca H;nada;DO;A;06.07.2017;D19;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;06.07.2017;D19;w;b;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;06.07.2017;D19;w;b;3
Crustacea;Isopoda;;;;;;Isopod_A;Isopod B;detr;DO;A;06.07.2017;D19;w;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_F;Staphylinid F;pred;DO;A;06.07.2017;D19;w;b;1
Myriapoda;Chilopoda;;;;;;Centipede_B;Centipede B;pred;DO;A;06.07.2017;D19;w;b;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_A;Ootheca A;nada;DO;A;06.07.2017;D19;w;c;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_H;Ootheca H;nada;DO;A;06.07.2017;D19;w;c;2
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;A;06.07.2017;D19;w;c;3
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Nahublatella;Nahublatella fraterna;Cockroach_Z;Cockroach Z;scav;DO;A;06.07.2017;D19;w;c;1
Chelicerata;Araneae;;;;;;Jspider_BI;Jspider BI;pred;DO;A;06.07.2017;D19;w;c;1
Chelicerata;Araneae;;;;;;Spider_FY;Spider FY;pred;DO;A;06.07.2017;D19;w;c;1
Hexapoda;Coleoptera;Polyphaga;Chrysomelidae;Cassidinae;;;Beetle_DF;Beetle DF;herb;DO;B;06.05.2017;E11;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;B;06.05.2017;E11;wr;a; 
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;B;06.05.2017;E11;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Endomychidae;;;;Beetle_H;Beetle H ;myco;DO;B;06.05.2017;E11;wr;a;3
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;DO;B;06.05.2017;E11;wr;a;1
Mollusca;Gastropoda;;;;;;Snail_B;Snail B ;unkn;DO;B;06.05.2017;E11;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Blattellinae;;;Cockroach_O;Cockroach O;scav;DO;B;06.05.2017;E11;wr;b+c;1
Hexapoda;Coleoptera;Polyphaga;Chrysomelidae;Bruchinae;;;Beetle_DB;Beetle DB;herb;DO;B;06.05.2017;E11;wr;b+c;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;06.05.2017;E11;wr;b+c;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;B;06.05.2017;E11;wr;b+c;1
Hexapoda;Diptera;Nematocera;Sciaridae;;;;Midge_A;Midge A ;nada;DO;B;06.05.2017;E11;wr;b+c;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;B;06.05.2017;E11;wr;d;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_C;Ootheca C;nada;DO;B;06.05.2017;E11;wr;d;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;06.05.2017;E11;wr;d;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;B;06.05.2017;E11;wr;d;2
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;B;06.05.2017;E11;wr;d;7
Hexapoda;Hemiptera;Heteroptera;Reduviidae;;;;Hemiptera_BD;Hemiptera BD;pred;DO;B;06.05.2017;E11;wr;d;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;CP;B;01.05.2017;E2;wr;a;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_A;Ootheca A;nada;CP;B;01.05.2017;E2;wr;a;2
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;CP;B;01.05.2017;E2;wr;a;1
Hexapoda;Coleoptera;Adephaga;Carabidae;;;;Beetle_A;Beetle A;pred;CP;B;01.05.2017;E2;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Anthicidae;;;;Beetle_B;Beetle B;omni;CP;B;01.05.2017;E2;wr;a;2
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;CP;B;01.05.2017;E2;wr;a;1
Myriapoda;Diplopoda;;;;;;Millipede_A;Millipede A;detr;CP;B;01.05.2017;E2;wr;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;CP;B;01.05.2017;E2;wr;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;CP;B;01.05.2017;E2;wr;b;1
Myriapoda;Diplopoda;;;;;;Millipede_A;Millipede A;detr;CP;B;01.05.2017;E2;wr;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;ER;A;02.07.2017;E7;w;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;ER;A;02.07.2017;E7;w;a;nest
