Subphylum;Order;Suborder;Family;Subfamily;Genus;Species;Morphospecies;Species_old_name;Diet;Site;Sampling;Day;Tree;Treatment;Bromeliad;Abundance
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;FlyingAnt_C;Flying ant C;pred;ER;B;04.05.2017;E8;wr;d;1
Hexapoda;Coleoptera;Polyphaga;Nitidulidae;;;;Beetle_CZ;Beetle CZ;detr;ER;B;04.05.2017;E8;wr;d;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;B;04.05.2017;E8;wr;d;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;A;25.06.2017;F14;w;b;nest
Hexapoda;Coleoptera;Polyphaga;Elateridae;;;;Beetle_AB;Beetle BG;herb;ER;A;25.06.2017;F14;w;b;1
Hexapoda;Coleoptera;;;;;;Beetlarva_F;Beetle larva F;herb;ER;A;25.06.2017;F14;w;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_C;Staphylinid C;pred;ER;A;25.06.2017;F14;w;b;1
Myriapoda;Chilopoda;;;;;;Centipede_A;Centipede A;pred;ER;A;25.06.2017;F14;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant AR;pred;CP;A;24.06.2017;F2;w;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;CP;A;24.06.2017;F2;w;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;CP;A;24.06.2017;F2;w;a;nest
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_A;Grasshopper A;herb;CP;A;24.06.2017;F2;w;a;1
Chelicerata;Araneae;;;;;;Spider_L;Spider BI;pred;CP;A;24.06.2017;F2;w;a;1
Chelicerata;Araneae;;;;;;Spider_CL;Spider CL;pred;CP;A;24.06.2017;F2;w;a;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;CP;A;24.06.2017;F2;w;a;2
Hexapoda;Hemiptera;Heteroptera;Cydnidae;;;;Hemiptera_CH;Beetle DA;herb;CP;A;24.06.2017;F2;w;a;2
Hexapoda;Coleoptera;;;;;;Staphlarva_E;Staphlarva E;pred;CP;A;24.06.2017;F2;w;a;2
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_C;Staphylinid C;pred;CP;A;24.06.2017;F2;w;a;1
Hexapoda;Dermaptera;;;;;;Earwig_C;Earwig C;omni;CP;A;24.06.2017;F2;w;a;4
Hexapoda;Dermaptera;;;;;;Earwig_D;Earwig D;omni;CP;A;24.06.2017;F2;w;a;7
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_nymph_C;Cricket nymph C;omni;CP;A;24.06.2017;F2;w;a;2
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_E;Cricket nymph E;herb;CP;A;24.06.2017;F2;w;a;3
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;;;;Orthoptera_nymph_ B;Orthoptera nymph B;herb;CP;A;24.06.2017;F2;w;a;1
Myriapoda;Diplopoda;;;;;;Millipede_A;Millipede A;detr;CP;A;24.06.2017;F2;w;a;2
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_D;Grasshopper D;herb;DO;A;01.07.2017;F23;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;01.07.2017;F23;w;a;2
Chelicerata;Araneae;;;;;;Jspider_A;Jspider A;pred;DO;A;01.07.2017;F23;w;a;1
Chelicerata;Araneae;;;;;;Jspider_AF;Jspider M;pred;DO;A;01.07.2017;F23;w;a;1
Chelicerata;Araneae;;;;;;Spider_DI;Spider DI;pred;DO;A;01.07.2017;F23;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_Z;Ant Z;pred;DO;A;01.07.2017;F23;w;a;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_G;Ootheca G;nada;DO;A;01.07.2017;F23;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Paraponerinae;Paraponera;Paraponera clavata;Ant_L;Ant AE;pred;DO;A;01.07.2017;F23;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini?;;Cockroach_G;Cockroach G;scav;DO;A;01.07.2017;F23;w;b;1
Chelicerata;Araneae;;;;;;Spider_DK;Spider DK;pred;DO;A;01.07.2017;F23;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;01.07.2017;F23;w;c;1
Crustacea;Isopoda;;;;;;Isopod_A;Isopod B;detr;DO;A;01.07.2017;F23;w;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_Z;Ant Z;pred;DO;A;01.07.2017;F23;w;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;FlyingAnt_Z;Wasp M;pred;DO;A;01.07.2017;F23;w;c;2
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;DO;A;01.07.2017;F23;w;d;2
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_H;Ootheca H;nada;DO;A;01.07.2017;F23;w;d;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;01.07.2017;F23;w;d;10
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;01.07.2017;F23;w;d;5
Chelicerata;Araneae;;;;;;Spider_CS;Spider CS;pred;DO;A;01.07.2017;F23;w;d;1
Chelicerata;Scorpiones;;;;;;Scorpion_A;Scorpion A ;pred;DO;A;01.07.2017;F23;w;d;1
Crustacea;Isopoda;;;;;;Isopod_A;Isopod B;detr;DO;A;01.07.2017;F23;w;d;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Eugnominae;;;Beetle_BU;Beetle BU;herb;CP;A;24.06.2017;F4;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant AR;pred;CP;A;24.06.2017;F4;w;a;nest
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;CP;A;24.06.2017;F4;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphlarva_B;Staphlarva B;pred;CP;A;24.06.2017;F4;w;a;1
Mollusca;Gastropoda;;;;;;Snail_A;Snail A;herb;CP;A;24.06.2017;F4;w;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;A;06.07.2017;G11;w;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;A;06.07.2017;G11;w;a;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_A;Ootheca A;nada;DO;A;06.07.2017;G11;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_G;Ootheca G;nada;DO;A;06.07.2017;G11;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;06.07.2017;G11;w;a;5
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;06.07.2017;G11;w;a;2
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;Tachyporinae;;;Beetle_GK;Beetle GK;myco;DO;A;06.07.2017;G11;w;a;1
Chelicerata;Araneae;;;;;;Spider_BP;Spider BP;pred;DO;A;06.07.2017;G11;w;a;1
Chelicerata;Araneae;;;;;;Spider_FM;Spider FM;pred;DO;A;06.07.2017;G11;w;a;1
Chelicerata;Araneae;;;;;;Spider_FY;Spider FY;pred;DO;A;06.07.2017;G11;w;a;1
Chelicerata;Araneae;;;;;;Spider_FZ;Spider FZ;pred;DO;A;06.07.2017;G11;w;a;1
Hexapoda;Coleoptera;Polyphaga;Nitidulidae;;;;Beetle_CG;Beetle CG;detr;DO;A;06.07.2017;G11;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_I;Staphylinid I;pred;DO;A;06.07.2017;G11;w;a;1
Hexapoda;Orthoptera;Ensifera;Gryllacrididae;;;;Katydid_C;Katydid nymph C;unkn;DO;A;06.07.2017;G11;w;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;A;06.07.2017;G11;w;b;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;A;06.07.2017;G11;w;b;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Scolytinae;;;Beetle_U;Beetle Y;xylo;DO;A;06.07.2017;G11;w;b;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_J;Cricket J;omni;DO;A;06.07.2017;G11;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;A;06.07.2017;G11;w;c;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_A;Ootheca A;nada;DO;A;06.07.2017;G11;w;c;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;DO;A;06.07.2017;G11;w;c;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;06.07.2017;G11;w;c;1
Chelicerata;Araneae;;;;;;Spider_GC;Spider GC;pred;DO;A;06.07.2017;G11;w;c;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_J;Staphylinid J;pred;DO;A;06.07.2017;G11;w;c;1
Hexapoda;Hymenoptera;Apocrita;;;;;Wasp_GO;Wasp GO;para;DO;A;06.07.2017;G11;w;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;B;17.05.2017;G13;wr;a;2
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;B;17.05.2017;G13;wr;a;2
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;DO;B;17.05.2017;G13;wr;a;3
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;B;17.05.2017;G13;wr;a;6
Chelicerata;Araneae;;;;;;Jspider_W;Jspider W;pred;DO;B;17.05.2017;G13;wr;a;1
Chelicerata;Araneae;;;;;;Spider_BT;Spider BT;pred;DO;B;17.05.2017;G13;wr;a;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;B;17.05.2017;G13;wr;a;1
Hexapoda;Lepidoptera;;;;;;Lepilarva_Y;Unknown larva A;herb;DO;B;17.05.2017;G13;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_B;Staphylinid B;pred;DO;B;17.05.2017;G13;wr;a;1
Mollusca;Gastropoda;;;;;;Snail_B;Snail B ;unkn;DO;B;17.05.2017;G13;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Baridinae;;;Beetle_GQ;Beetle GQ;herb;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;DO;A;10.07.2017;G19;w;a;8
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_H;Ootheca H;nada;DO;A;10.07.2017;G19;w;a;4
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_D;Grasshopper D;herb;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura;;Cockroach_AC;Cockroach AC;scav;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini?;;Cockroach_G;Cockroach G;scav;DO;A;10.07.2017;G19;w;a;5
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;10.07.2017;G19;w;a;1
Chelicerata;Araneae;;;;;;Spider_DK;Spider DK;pred;DO;A;10.07.2017;G19;w;a;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;10.07.2017;G19;w;a;1
Crustacea;Isopoda;;;;;;Isopod_A;Isopod B;detr;DO;A;10.07.2017;G19;w;a;2
Hexapoda;Coleoptera;Polyphaga;Endomychidae;;;;Beetle_GR;Beetle GR;myco;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Dermaptera;;;;;;Earwig_B;Earwig B;omni;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Hemiptera_nymph_T;Hemiptera nymph T;herb;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_P;Psyllid P;herb;DO;A;10.07.2017;G19;w;a;1
Hexapoda;Coleoptera;Polyphaga;Anthribidae;Anthribinae;;;Beetle_GP;Beetle GP;detr;DO;A;10.07.2017;G19;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura;;Cockroach_AC;Cockroach AC;scav;DO;A;10.07.2017;G19;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;A;10.07.2017;G19;w;b;1
Chelicerata;Araneae;;;;;;Jspider_BK;Jspider BK;pred;DO;A;10.07.2017;G19;w;b;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Hemiptera_nymph_T;Hemiptera nymph T;herb;DO;A;10.07.2017;G19;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;DO;A;10.07.2017;G19;w;c;4
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;DO;A;10.07.2017;G19;w;c;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;10.07.2017;G19;w;c;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;10.07.2017;G19;w;c;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;Tachyporinae;;;Beetle_GK;Beetle GK;myco;DO;A;10.07.2017;G19;w;c;1
Chelicerata;Araneae;;;;;;Spider_DK;Spider DK;pred;DO;A;10.07.2017;G19;w;c;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;10.07.2017;G19;w;c;1
Crustacea;Isopoda;;;;;;Isopod_A;Isopod B;detr;DO;A;10.07.2017;G19;w;c;2
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphlarva_B;Beetle CQ;pred;DO;A;10.07.2017;G19;w;c;1
Mollusca;Gastropoda;;;;;;Snail_A;Snail A;herb;DO;A;10.07.2017;G19;w;c;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Entiminae;;;Beetle_CI;Beetle CI;herb;DO;A;10.07.2017;G19;w;d;3
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini?;;Cockroach_G;Cockroach G;scav;DO;A;10.07.2017;G19;w;d;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;A;10.07.2017;G19;w;d;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;10.07.2017;G19;w;d;1
Chelicerata;Araneae;;;;;;Spider_DM;Spider DM;pred;DO;A;10.07.2017;G19;w;d;1
Chelicerata;Araneae;;;;;;Spider_DQ;Spider DQ;pred;DO;A;10.07.2017;G19;w;d;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;10.07.2017;G19;w;d;1
Hexapoda;Coleoptera;Polyphaga;Nitidulidae;;;;Beetle_GO;Beetle GO;detr;DO;A;10.07.2017;G19;w;d;12
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_J;Cricket J;omni;DO;A;10.07.2017;G19;w;d;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;B;12.05.2017;G2;wr;a;2
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_A;Grasshopper A;herb;DO;B;12.05.2017;G2;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;B;12.05.2017;G2;wr;a;2
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;B;12.05.2017;G2;wr;a;7
Hexapoda;Coleoptera;Polyphaga;Nitidulidae;;;;Beetle_C;Beetle C;detr;DO;B;12.05.2017;G2;wr;a;4
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;A;06.07.2017;G3;w;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;CP;B;18.05.2017;G3;wr;a;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_I;Ootheca I;nada;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_D;Grasshopper D;herb;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_P;Cockroach P;scav;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Scolytinae;;;Beetle_U;Beetle Y;xylo;DO;A;06.07.2017;G3;w;a;1
Chelicerata;Araneae;;;;;;Spider_CN;Spider CN;pred;DO;A;06.07.2017;G3;w;a;1
Chelicerata;Araneae;;;;;;Spider_GA;Spider GA;pred;DO;A;06.07.2017;G3;w;a;1
Chelicerata;Araneae;;;;;;Spider_GB;Spider GB;pred;DO;A;06.07.2017;G3;w;a;1
Chelicerata;Araneae;;;;;;Spider_GC;Spider GC;pred;DO;A;06.07.2017;G3;w;a;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Hemiptera;Heteroptera;Cydnidae;;;;Hemiptera_CH;Beetle DA;herb;CP;B;18.05.2017;G3;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_F;Staphylinid F;pred;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_I;Staphylinid I;pred;DO;A;06.07.2017;G3;w;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_E;Ant E;pred;DO;A;06.07.2017;G3;w;a;1
Hexapoda;Hymenoptera;Apocrita;;;;;Wasp_N;Wasp N;para;CP;B;18.05.2017;G3;wr;a;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_nymph_C;Cricket nymph C;omni;CP;B;18.05.2017;G3;wr;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Dolichoderinae;Liometopum;;Ant_AH;Ant AH;pred;DO;A;06.07.2017;G3;w;b;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;A;06.07.2017;G3;w;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Euphyllodromia?;;Cockroach_Q;Cockroach Q;scav;DO;A;06.07.2017;G3;w;b;2
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini or Macrophyllodromia;;Cockroach_X;Cockroach X;scav;DO;A;06.07.2017;G3;w;b;1
Chelicerata;Araneae;;;;;;Jspider_AF;Jspider AF;pred;DO;A;06.07.2017;G3;w;b;1
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;;;;Orthoptera_nymph_ H;Orthoptera nymph H;herb;DO;A;06.07.2017;G3;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;CP;B;01.05.2017;G4;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;CP;B;01.05.2017;G4;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant I;pred;CP;B;01.05.2017;G4;wr;a;nest
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;CP;B;01.05.2017;G4;wr;a;1
Chelicerata;Araneae;;;;;;Spider_B;Spider B;pred;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Anthicidae;;;;Beetle_B;Beetle B;omni;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Nitidulidae;;;;Beetle_C;Beetle C;detr;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_B;Staphylinid B;pred;CP;B;01.05.2017;G4;wr;a;2
Hexapoda;Diptera;Nematocera;Sciaridae;;;;Midge_A;Midge A ;nada;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Hemiptera;Heteroptera;Rhyparochromidae;;;;Hemiptera_B;Hemiptera B;gran;CP;B;01.05.2017;G4;wr;a;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_B;Cricket B;omni;CP;B;01.05.2017;G4;wr;a;4
Myriapoda;Diplopoda;;;;;;Millipede_A;Millipede A;detr;CP;B;01.05.2017;G4;wr;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;CP;B;01.05.2017;G4;wr;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant I;pred;CP;B;01.05.2017;G4;wr;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;CP;B;01.05.2017;G4;wr;b;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_A;Ootheca A;nada;CP;B;01.05.2017;G4;wr;b;1
Hexapoda;Coleoptera;Polyphaga;Anthicidae;;;;Beetle_B;Beetle B;omni;CP;B;01.05.2017;G4;wr;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;CP;B;01.05.2017;G4;wr;b;1
Hexapoda;Hemiptera;Heteroptera;Rhyparochromidae;;;;Hemiptera_A;Hemiptera A;gran;CP;B;01.05.2017;G4;wr;b;1
Hexapoda;Coleoptera;Polyphaga;Scarabaeidae;Aphodiinae;;;Beetle_DI;Beetle DI;detr;ER;B;07.05.2017;G5;wr;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Ectatomminae;Gnamptogenys;;Ant_K;Ant K;pred;ER;B;07.05.2017;G5;wr;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Ectatomminae;Gnamptogenys;;Ant_K;Ant K;pred;CP;B;18.05.2017;G5;wr;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant AR;pred;CP;B;18.05.2017;G5;wr;a;nest
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;07.05.2017;G5;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini;;Cockroach_R;Cockroach R;scav;ER;B;07.05.2017;G5;wr;a;1
Chelicerata;Opiliones;;;;;;Opilio_G;Spider AP;omni;CP;B;18.05.2017;G5;wr;a;1
Hexapoda;Blattodea;;Blattidae or Ectobiidae;;Periplaneta?;;Cockroach_T;Cockroach T;scav;ER;B;07.05.2017;G5;wr;a;1
Hexapoda;Hemiptera;Heteroptera;Cydnidae;;;;Hemiptera_CH;Beetle DA;herb;ER;B;07.05.2017;G5;wr;a;1
Hexapoda;Hemiptera;Heteroptera;Cydnidae;;;;Hemiptera_CH;Beetle DA;herb;CP;B;18.05.2017;G5;wr;a;1
Hexapoda;Lepidoptera;;;;;;Lepilarva_AB;Beetle larva E;herb;CP;B;18.05.2017;G5;wr;a;1
Hexapoda;Coleoptera;;;;;;Staphlarva_D;Staphlarva D;pred;CP;B;18.05.2017;G5;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;CP;B;18.05.2017;G5;wr;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;B;07.05.2017;G5;wr;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_AK;Ant AK;pred;ER;B;07.05.2017;G5;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_E;Ant E;pred;ER;B;07.05.2017;G5;wr;a;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_E;Ant E;pred;CP;B;18.05.2017;G5;wr;a;nest
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_nymph_C;Cricket nymph C;omni;CP;B;18.05.2017;G5;wr;a;1
Mollusca;Gastropoda;;;;;;Snail_A;Snail A;herb;CP;B;18.05.2017;G5;wr;a;2
Myriapoda;Diplopoda;;;;;;Millipede_A;Millipede A;detr;CP;B;18.05.2017;G5;wr;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;B;07.05.2017;G5;wr;b;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Ponerinae;Odontomachus;;FlyingAnt_M;Flying ant M;pred;ER;B;07.05.2017;G5;wr;b;1
